"key","value"
"linnean_summary::Named-species SH codes: GenBank only","498"
"linnean_summary::Named-species SH codes: GlobalFungi only","442"
"linnean_summary::Named-species SH codes: shared between GlobalFungi and GenBank","681"
"linnean_summary::Named-species SH codes: total unique across GF + GenBank (regardless of coords)","1621"
"linnean_summary::Unique EcM genera (combined dataset, FungalTraits-filtered)","124"
"linnean_summary::Unique EcM genera (records with coordinates only)","107"
"linnean_summary::Unique EcM lineages observed in Canada (lineage definitions from FungalTraits)","54"
"linnean_summary::Unique named species (records with coordinates only)","1156"
"linnean_summary::Unique named species (UNITE taxonomy, excl. _sp; combined dataset)","1405"
"linnean_summary::Unique named species: GenBank only","403"
"linnean_summary::Unique named species: GlobalFungi only","349"
"linnean_summary::Unique named species: shared between GlobalFungi and GenBank","653"
"linnean_summary::Unique UNITE v10 SH codes (combined dataset, all records)","2805"
"linnean_summary::Unique UNITE v10 SH codes (records with coordinates only)","2365"
"nrow::clean_fungalroot_genera_table_s2.csv","307"
"nrow::clean_fungalroot_species.csv","623"
"nrow::ecm_native_canada_host_species.csv","272"
"nrow::emf_canada_combined.csv","364785"
"nrow::emf_canada_em_only.csv","49016"
"nrow::genbank_emf_canada_long.csv","31517"
"nrow::globalfungi_canada_long.csv","333268"
"prestonian_summary::% of our EcM genera absent from BioTIME","97.6"
"prestonian_summary::% of our EcM named taxa absent from BioTIME","99.9"
"prestonian_summary::BioTIME fungi studies (taxa + organisms filter)","1"
"prestonian_summary::BioTIME records for matched EcM taxa","11"
"prestonian_summary::BioTIME species matching our EcM species (exact)","2"
"prestonian_summary::BioTIME species names in fungi studies","110"
"prestonian_summary::BioTIME species within our EcM genera (genus-level)","3"
"prestonian_summary::BioTIME studies containing matched EcM taxa","1"
"prestonian_summary::EcM genera in our Canadian dataset","124"
"prestonian_summary::EcM genera with NO BioTIME record","121"
"prestonian_summary::EcM named taxa (species) with NO BioTIME record","1403"
"prestonian_summary::EcM species (UNITE, named) in our Canadian dataset","1405"
"prestonian_summary::Location x taxon combinations with >1 year of data","1"
"prestonian_summary::Matched EcM taxa with repeat sampling (same location, >1 year)","1"
"unique_locations::Combined","1623"
"unique_locations::GenBank","1137"
"unique_locations::GlobalFungi","486"
